MATNR;MATKL;SPART;MFRNR;MFRPN;MEINS;LVORM;MAKTX;WERKS
000000000000882321;0005;M4;;;ST;;JD VIDRIO DERECHO L210075;1CD0
000000000000886255;0005;M4;;;ST;;JD Tractor 5090EN OOS;1CD0
000000000000886259;0005;M4;;;ST;;JD Tractor 6195M AMS FULL;1CD0
000000000000886282;0005;M4;;;ST;;JD TRACTOR 7230J AMS FULL;1CD0
000000000000890457;0005;M4;;;ST;;JD Ztrak 540M;1CD0
000000000000890459;0005;M4;;;ST;;JD Tractor 5085GV RODADOS GN CAB;1CD0
000000000000890047;0005;M4;;;ST;;JD Tractor 6135J CAB;1CD0
000000000000904891;0005;M4;;;ST;;JD Tractor 5085GV CAB ULTRA ANGOSTO;1CD0
000000000000904892;0005;M4;;;ST;;JD Tractor 6135J AMS  FULL;1CD0
000000000000904893;0005;M4;;;ST;;JD Tractor 6135J RODADO ANCHO AMS FULL;1CD0
000000000000904894;0005;M4;;;ST;;JD Tractor 6150J CAB FULL AMS;1CD0
000000000000914576;0005;M4;;;ST;;JD Tractor 6110E CAB 24 x 12 Radial;1CD0
000000000000914578;0005;M4;;;ST;;JD Tractor 6125E CAB 24x12 Radial;1CD0
000000000000916011;0005;M4;;;ST;;JD Tractor 6195M FULL JD LINK CONNE;1CD0
000000000000911704;0005;M4;;;ST;;JD Tractor 6140M FULL;1CD0
000000000000914456;0005;M4;;;ST;;JD Tractor 7310R CAB;1CD0
000000000000917673;0005;M4;;;ST;;JD Z335E;1CD0
000000000000921295;0005;M4;;;ST;;JD Tractor 5125ML;1CD0
000000000000920669;0005;M4;;;ST;;JD Tractor 5090EN OOS CREEPER;1CD0
000000000000921707;0005;M4;;;ST;;JD Tractor 6150J CAB Radial;1CD0
000000000000848836;0005;M4;;;ST;;JD Ztrak 997 - Mower 60"" - 37,4 HP";1CD0
000000000000012408;0005;M2;;;ST;;JD 1470D HARVESTER RUEDAS 6X6;1CD0
000000000000843077;0005;M2;;;ST;;JD 1270G HARVESTER RUEDAS 6X6 HAAS H270;1CD0
000000000000855668;0005;M2;;;ST;;JD 1170E HARVESTER RUEDAS 6X6 H414C;1CD0
000000000000861647;0005;M2;;;ST;;JD 1270G HARVESTER RUEDAS 6X6 H480C;1CD0
000000000000873667;0005;M2;;;ST;;JD 1270G HARVESTER RUEDAS 8X8 H415;1CD0
000000000000916019;0005;M2;;;ST;;JD 1270G HARVESTER RUEDAS 6X6 H415;1CD0
000000000000911785;0005;M2;;;ST;;JD 1170G HARVESTER RUEDAS 6X6 HAAS/H413;1CD0
000000000000713570;0005;M0;;;ST;;GATOR UTILITY;1CD0
000000000000851107;0005;M4;;;ST;;GARRA MADERERA,MARCA TENIAS;1CD0
000000000000012396;0005;M1;;;ST;;FORWARDER JOHN DEERE 1010D;1CD0
000000000000012397;0005;M1;;;ST;;FORWARDER JOHN DEERE 1110D;1CD0
000000000000012398;0005;M1;;;ST;;FORWARDER JOHN DEERE 1410D;1CD0
000000000000012399;0005;M1;;;ST;;FORWARDER JOHN DEERE 1710D;1CD0
000000000000855669;0005;M2;;;ST;;FORWARDER DEERE 1110E 8x8;1CD0
000000000000855670;0005;M2;;;ST;;FORWARDER DEERE 1210E 8x8;1CD0
000000000000855681;0005;M2;;;ST;;FORWARDER DEERE 1510E  8x8;1CD0
000000000000856587;0005;M2;;;ST;;FORWARDER DEERE 1510E 8x8;1CD0
