MATNR;MATKL;SPART;MFRNR;MFRPN;MEINS;LVORM;MAKTX;WERKS
000000000001006075;0103;R0;0000100157;07RE541978I;ST;;TORNILLO;1CD0
000000000001007033;0103;R0;0000100157;07R225604I;ST;;TORNILLO;1CD0
000000000001007146;0103;R0;0000100157;07L166310I;ST;;TORNILLO;1CD0
000000000001008335;0103;R0;0000100157;0719M7918I;ST;;TORNILLO;1CD0
000000000001009331;0103;R0;0000100157;07L221245I;ST;;TORNILLO;1CD0
000000000001009392;0103;R0;0000100157;07H208187I;ST;;TORNILLO;1CD0
000000000001009700;0103;R0;0000100157;07GX20411I;ST;;TORNILLO;1CD0
000000000001009702;0103;R0;0000100157;07GX24489I;ST;;TORNILLO;1CD0
000000000001009714;0103;R0;0000100157;07GY21252I;ST;;TORNILLO;1CD0
000000000001010197;0103;R0;0000100157;0719M10221I;ST;;TORNILLO;1CD0
000000000001010257;0103;R0;0000100157;0719M9153I;ST;;TORNILLO;1CD0
000000000001012319;0103;R0;0000100157;07PT18321I;ST;;TORNILLO;1CD0
000000000001013092;0103;R0;0000100157;07R343439I;ST;;TORNILLO;1CD0
000000000001013345;0103;R0;0000100157;07T406511I;ST;;TORNILLO;1CD0
000000000001013403;0103;R0;0000100157;07L216824I;ST;;TORNILLO;1CD0
000000000001014106;0103;R0;0000100157;07L229057I;ST;;TORNILLO;1CD0
000000000001014752;0103;R0;0000100157;07R114018I;ST;;TORNILLO;1CD0
000000000001016605;0103;R0;0000100157;0719M3206I;ST;;TORNILLO;1CD0
000000000001016781;0103;R0;0000100157;07R285854I;ST;;TORNILLO;1CD0
000000000001017196;0103;R0;0000100157;07R207924I;ST;;TORNILLO;1CD0
000000000001017592;0103;R0;0000100157;07R543115I;ST;;TORNILLO;1CD0
000000000001017959;0103;R0;0000100157;07SU32472I;ST;;TORNILLO;1CD0
000000000001018106;0103;R0;0000100157;0719H3014I;ST;;TORNILLO;1CD0
000000000001018108;0103;R0;0000100157;0719H3695I;ST;;TORNILLO;1CD0
000000000001019497;0103;R0;0000100157;0719M9226I;ST;;TORNILLO;1CD0
000000000001019897;0103;R0;0000100157;07TCU20162I;ST;;TORNILLO;1CD0
000000000001020276;0103;R0;0000100157;0719M9178I;ST;;TORNILLO;1CD0
000000000001020286;0103;R0;0000100157;0719M7608I;ST;;TORNILLO;1CD0
000000000001020290;0103;R0;0000100157;0719M8406I;ST;;TORNILLO;1CD0
000000000001020297;0103;R0;0000100157;07L209596I;ST;;TORNILLO;1CD0
000000000001020303;0103;R0;0000100157;07L209716I;ST;;TORNILLO;1CD0
000000000001020317;0103;R0;0000100157;0737M7225I;ST;;TORNILLO;1CD0
000000000001020320;0103;R0;0000100157;07L207157I;ST;;TORNILLO;1CD0
000000000001020372;0103;R0;0000100157;0719M9240I;ST;;TORNILLO;1CD0
000000000001020557;0103;R0;0000100157;07M177742I;ST;;TORNILLO;1CD0
000000000001020902;0005;R0;0000100005;07AN161024I;ST;;TORNILLO;1CD0
000000000001021253;0103;R0;0000100157;07L174212I;ST;;TORNILLO;1CD0
000000000001021522;0103;R0;0000100157;07T425041I;ST;;TORNILLO;1CD0
000000000001022275;0103;R0;0000100157;0703M7223I;ST;;TORNILLO;1CD0
000000000001022425;0103;R0;0000100157;07UC18596I;ST;;TORNILLO;1CD0
000000000001023423;0103;R0;0000100157;07L112545I;ST;;TORNILLO;1CD0
000000000001024043;0103;R0;0000100157;0737M7217I;ST;;TORNILLO;1CD0
