VBELN;POSNR;FKART;FKDAT;RFBSK;FKSTO;VBTYP;ERDAT;MATNR;NETWR;MWSBP;MATKL;CHARG;SELLER_ID;SELLER_NOMBRE;SELLER_APELLIDO
0900417751;000020;ZSNB;20260302;C;;M;20260302;000000000000803015;15285.54;2904.25;0006;;;;
0900417752;000010;ZSNB;20260302;C;;M;20260302;000000000000863883;11943.53;2269.27;0019;;;;
0900417753;000010;ZSNB;20260302;C;;M;20260302;000000000000996082;1482.78;281.73;0002;;;;
0900417754;000010;ZSNB;20260302;C;;M;20260302;000000000000813503;69.48;13.21;0200;;;;
0900417754;000020;ZSNB;20260302;C;;M;20260302;000000000000135228;28.02;5.32;0200;;;;
0900417755;000010;ZBEN;20260302;C;;M;20260302;000000000000914464;210.00;39.90;0102;;;;
0900417757;000001;ZBEN;20260302;C;;M;20260302;000000000000809203;1534.62;291.58;0016;;;;
0900417758;000010;ZSNB;20260302;C;;M;20260302;000000000000863888;3112.36;591.35;0016;;;;
0096967317;000010;S1;20260302;C;;N;20260302;000000000000842579;2434.02;462.46;0103;;;;
0900417760;000010;ZSNB;20260302;C;;M;20260302;000000000000842579;2434.02;462.46;0103;;;;
0900417762;000010;ZSNB;20260302;C;;M;20260302;000000000000816349;2019.56;383.72;0016;;;;
0900417763;000020;ZSNB;20260302;C;;M;20260302;000000000000757981;241.98;45.98;0103;;;;
0900417763;000030;ZSNB;20260302;C;;M;20260302;000000000000884191;1210.19;229.93;0103;;;;
0900417763;000040;ZSNB;20260302;C;;M;20260302;000000000000164694;320.10;60.82;0103;;;;
0900417763;000050;ZSNB;20260302;C;;M;20260302;000000000000170833;757.31;143.89;0103;;;;
0900417763;000060;ZSNB;20260302;C;;M;20260302;000000000000170834;530.44;100.78;0103;;;;
0900417763;000070;ZSNB;20260302;C;;M;20260302;000000000000735982;899.37;170.88;0005;;;;
0900417764;000010;ZNCN;20260302;C;;O;20260302;NC01;4302.76;817.52;0180;;;;
0900417765;000010;ZSNB;20260302;C;;M;20260302;000000000000828615;4459.03;847.22;0016;;;;
0900417766;000010;ZSNB;20260302;C;;M;20260302;000000000000747130;928.10;176.34;0103;;;;
0900417766;000020;ZSNB;20260302;C;;M;20260302;000000000000155526;15.78;3.00;0103;;;;
0900417766;000030;ZSNB;20260302;C;;M;20260302;000000000000774145;268.24;50.97;0103;;;;
0900417766;000040;ZSNB;20260302;C;;M;20260302;000000000000154842;0.44;0.08;0103;;;;
0900417766;000050;ZSNB;20260302;C;;M;20260302;000000000000155526;15.78;3.00;0103;;;;
0900417766;000060;ZSNB;20260302;C;;M;20260302;000000000000761618;939.49;178.50;0103;;;;
0900417766;000070;ZSNB;20260302;C;;M;20260302;000000000000747126;4121.33;783.05;0103;;;;
0900417767;000010;ZSNB;20260302;C;;M;20260302;000000000000728941;21065.93;4002.53;0103;;;;
0900417768;000010;ZDBE;20260302;C;;P;20260302;CS54;1352.00;256.88;0082;;;;
0900417769;000010;ZSNB;20260302;C;;M;20260302;000000000000832561;1659.54;315.31;0019;;;;
0900417771;000010;ZSNB;20260302;C;;M;20260302;000000000000972995;721.25;137.04;0103;;;;
0900417772;000010;ZBEN;20260302;C;;M;20260302;000000000000914464;210.00;39.90;0102;;;;
0900417773;000010;ZBEN;20260302;C;;M;20260302;000000000000965018;2622.74;498.32;0016;;;;
0900417774;000010;ZSNB;20260302;C;;M;20260302;000000000000773433;294.07;55.87;0005;;;;
0900417775;000010;ZSNB;20260302;C;;M;20260302;000000000000700431;771.13;146.51;0034;;;;
0900417775;000040;ZSNB;20260302;C;;M;20260302;000000000000700770;253.99;48.26;0034;;;;
0900417775;000050;ZSNB;20260302;C;;M;20260302;000000000000700400;282.76;53.72;0034;;;;
0900417775;000060;ZSNB;20260302;C;;M;20260302;000000000000700724;300.68;57.13;0034;;;;
0900417775;000070;ZSNB;20260302;C;;M;20260302;000000000000704094;278.46;52.91;0034;;;;
0900417778;000010;S1;20260228;C;;N;20260302;CS08;15167.70;2881.86;0082;;;;
0900417778;000020;S1;20260228;C;;N;20260302;000000000000164951;634.58;120.57;0103;;;;
0900417778;000030;S1;20260228;C;;N;20260302;000000000000162956;528.39;100.39;0103;;;;
0900417778;000040;S1;20260228;C;;N;20260302;000000000000171739;299.99;57.00;0103;;;;
0900417778;000050;S1;20260228;C;;N;20260302;000000000000735981;601.69;114.32;0005;;;;
0900417778;000060;S1;20260228;C;;N;20260302;000000000000728202;307.15;58.36;0103;;;;
0900417778;000070;S1;20260228;C;;N;20260302;000000000000115884;614.30;116.72;0103;;;;
0900417778;000080;S1;20260228;C;;N;20260302;000000000000159466;89.31;16.97;0103;;;;
0900417778;000090;S1;20260228;C;;N;20260302;000000000000180624;154.08;29.28;0103;;;;
0900417778;000100;S1;20260228;C;;N;20260302;CS40;8080.80;1535.35;0082;;;;
