ITEM_TYPE;BUKRS;KUNNR;BELNR;GJAHR;BLART;BUDAT;BLDAT;WAERS;DMBTR;WRBTR;SHKZG;ZFBDT;ZBD1T;VBELN;ZUONR;SGTXT;AUGDT;AUGBL
CLEARED;1000;96689310-9;0000285824;2024;SA;20240131;20240131;CLP;7490.69;7490.69;S;20240131;0;;;;20240131;0000285824
CLEARED;1000;96689310-9;0000285827;2024;SA;20240131;20240131;CLP;2155.30;2155.30;S;20240131;0;;;;20240131;0000285827
CLEARED;1000;96689310-9;0000285829;2024;SA;20240131;20240131;CLP;556.87;556.87;S;20240131;0;;;;20240131;0000285829
CLEARED;1000;96689310-9;0000285830;2024;SA;20240131;20240131;CLP;1848.26;1848.26;S;20240131;0;;;;20240131;0000285830
CLEARED;1000;96689310-9;0000285831;2024;SA;20240131;20240131;CLP;1590.70;1590.70;S;20240131;0;;;;20240131;0000285831
CLEARED;1000;96689310-9;0000285834;2024;SA;20240131;20240131;CLP;1747.16;1747.16;S;20240131;0;;;;20240131;0000285834
CLEARED;1000;96689310-9;0000285837;2024;SA;20240131;20240131;CLP;2539.96;2539.96;S;20240131;0;;;;20240131;0000285837
CLEARED;1000;96689310-9;0000285838;2024;SA;20240131;20240131;CLP;168.27;168.27;S;20240131;0;;;;20240131;0000285838
CLEARED;1000;96689310-9;0000285840;2024;SA;20240131;20240131;CLP;2349.31;2349.31;S;20240131;0;;;;20240131;0000285840
CLEARED;1000;96689310-9;0000285845;2024;SA;20240131;20240131;CLP;264.11;264.11;S;20240131;0;;;;20240131;0000285845
CLEARED;1000;96689310-9;0000285847;2024;SA;20240131;20240131;CLP;245.06;245.06;S;20240131;0;;;;20240131;0000285847
CLEARED;1000;96689310-9;0000285854;2024;SA;20240131;20240131;CLP;5222.62;5222.62;S;20240131;0;;;;20240131;0000285854
CLEARED;1000;96689310-9;0000285858;2024;SA;20240131;20240131;CLP;2233.92;2233.92;S;20240131;0;;;;20240131;0000285858
CLEARED;1000;96689310-9;0000285859;2024;SA;20240131;20240131;CLP;535.50;535.50;S;20240131;0;;;;20240131;0000285859
CLEARED;1000;96689310-9;0000285864;2024;SA;20240131;20240131;CLP;3799.90;3799.90;S;20240131;0;;;;20240131;0000285864
CLEARED;1000;96689310-9;0000285865;2024;SA;20240131;20240131;CLP;765.18;765.18;S;20240131;0;;;;20240131;0000285865
